build_mode,query_mode,n,d,seed,k,iters,threads,batch_ms,query_mean_us,nodes_mean,nodes_std
serial,serial,400000,50,42,10,1,8,176.631,176631,399660,0
serial,serial,400000,50,42,10,1,16,148.489,148489,399660,0
parallel-tasks,serial,400000,50,42,10,1,1,149.699,149699,399660,0
parallel-tasks,serial,400000,50,42,10,1,2,189.055,189055,399660,0
parallel-tasks,serial,400000,50,42,10,1,4,188.032,188032,399660,0
parallel-tasks,serial,400000,50,42,10,1,8,186,186000,399660,0
parallel-tasks,serial,400000,50,42,10,1,16,194.21,194210,399660,0
parallel-flat,serial,400000,50,42,10,1,1,142.374,142374,399660,0
parallel-flat,serial,400000,50,42,10,1,2,182.86,182860,399660,0
parallel-flat,serial,400000,50,42,10,1,4,184.395,184395,399660,0
parallel-flat,serial,400000,50,42,10,1,8,155.259,155259,399660,0
parallel-flat,serial,400000,50,42,10,1,16,174.364,174364,399660,0
serial,serial,400000,50,42,10,200,1,35997.5,179988,394498,35062.6
serial,serial,400000,50,42,10,200,2,17020.1,85100.6,394498,35062.6
serial,serial,400000,50,42,10,200,4,7692.51,38462.5,394498,35062.6
serial,serial,400000,50,42,10,200,8,4153.1,20765.5,394498,35062.6
serial,serial,400000,50,42,10,200,16,2249.43,11247.2,394498,35062.6
serial,local-heaps,400000,50,42,10,200,1,36573.4,182867,394499,35062.6
serial,local-heaps,400000,50,42,10,200,2,15391,76955,397293,17397.8
serial,local-heaps,400000,50,42,10,200,4,9894.05,49470.2,398681,8571.28
serial,local-heaps,400000,50,42,10,200,8,6741.03,33705.2,399214,5074.08
serial,local-heaps,400000,50,42,10,200,16,5911.57,29557.8,399612,2542.36
serial,atomic-global,400000,50,42,10,200,1,36824.5,184122,394499,35062.6
serial,atomic-global,400000,50,42,10,200,2,15502.4,77512.2,394592,34630.8
serial,atomic-global,400000,50,42,10,200,4,9497.14,47485.7,394776,33839.5
serial,atomic-global,400000,50,42,10,200,8,7005.04,35025.2,394819,33764.1
serial,atomic-global,400000,50,42,10,200,16,5978.51,29892.5,395086,31558
serial,serial,400000,100,42,10,1,1,263.456,263456,400000,0
serial,serial,400000,100,42,10,1,2,270.674,270674,400000,0
serial,serial,400000,100,42,10,1,4,268.351,268351,400000,0
serial,serial,400000,100,42,10,1,8,286.244,286244,400000,0
serial,serial,400000,100,42,10,1,16,271.183,271183,400000,0
parallel-tasks,serial,400000,100,42,10,1,1,313.733,313733,400000,0
parallel-tasks,serial,400000,100,42,10,1,2,370.35,370350,400000,0
parallel-tasks,serial,400000,100,42,10,1,4,365.919,365919,400000,0
parallel-tasks,serial,400000,100,42,10,1,8,280.876,280876,400000,0
parallel-tasks,serial,400000,100,42,10,1,16,374.621,374621,400000,0
parallel-flat,serial,400000,100,42,10,1,1,321.984,321984,400000,0
parallel-flat,serial,400000,100,42,10,1,2,335.655,335655,400000,0
parallel-flat,serial,400000,100,42,10,1,4,355.227,355227,400000,0
parallel-flat,serial,400000,100,42,10,1,8,333.788,333788,400000,0
parallel-flat,serial,400000,100,42,10,1,16,379.138,379138,400000,0
serial,serial,400000,100,42,10,200,1,70622.9,353114,399999,6.17929
serial,serial,400000,100,42,10,200,2,32853.1,164265,399999,6.17929
serial,serial,400000,100,42,10,200,4,14770.6,73852.8,399999,6.17929
serial,serial,400000,100,42,10,200,8,6190.85,30954.3,399999,6.17929
serial,serial,400000,100,42,10,200,16,4280.25,21401.3,399999,6.17929
serial,local-heaps,400000,100,42,10,200,1,70774.9,353875,400000,6.17929
serial,local-heaps,400000,100,42,10,200,2,28899,144495,400001,5.55611
serial,local-heaps,400000,100,42,10,200,4,14585.9,72929.3,400003,5.06632
serial,local-heaps,400000,100,42,10,200,8,10975.3,54876.3,400008,4.51438
serial,local-heaps,400000,100,42,10,200,16,9065.21,45326.1,400016,3.88098
serial,atomic-global,400000,100,42,10,200,1,70873.2,354366,400000,6.17929
serial,atomic-global,400000,100,42,10,200,2,29916.4,149582,400001,5.66216
